Radeon RX 7700S,15502
RTX 2000 Ada Generation Embedded GPU,15373
Quadro RTX 5000,15370
GeForce RTX 3060 8GB,15233
Radeon Pro W5700X,15198
Radeon RX 6650M,15178
GeForce RTX 3070 Laptop GPU,15157
Radeon RX 6700S,15083
Radeon RX 6600,15080
SQExtFramebufferUmode Device,15054
GeForce RTX 2080 (Mobile),15014
Radeon PRO W6600,14980
RTX PRO 1000 Blackwell Generation Laptop GPU,14945
RTX 2000 Ada Generation Laptop GPU,14908
Quadro RTX 4000,14901
GameViewer Virtual Display Adapter,14843
Quadro RTX 5000 (Mobile),14832
RTX A4000 Laptop GPU,14798
Radeon Pro W6800X Duo,14742
GeForce GTX 1070 Ti,14664
Radeon RX 7600M XT,14619
GeForce RTX 5050 Laptop GPU,14582
Intel Arc Pro B60,14436
GeForce RTX 4050 Laptop GPU,14333
Radeon RX 5700,14278
Radeon Pro W5700,14149
Intel Arc B570,14124
GeForce RTX 2060,14114
Radeon Pro Vega II Duo,14018
RadeonT RX 6850M XT,13992
CXDisplay Device,13988
Radeon RX 6600M,13933
Radeon RX Vega 64,13920
NVIDIA A40,13900
RTX A3000 12GB Laptop GPU,13889
Radeon RX 6600 LE,13777
spacedesk Adapter,13759
Quadro GP100,13736
RTX A2000 12GB,13715
GeForce GTX 980 Ti,13696
Racer-Tech USB Display Device,13692
NVIDIA TITAN X,13660
Radeon RX 6700M,13619
A10G,13598
RTX 1000 Ada Generation Laptop GPU,13540
GeForce RTX 2080 Super with Max-Q Design,13518
GeForce GTX 1070,13508
Radeon RX 5600 XT,13433
nVidia L20,13430
RTX A2000,13429
GeForce RTX 2070 Super with Max-Q Design,13406
Radeon Pro VII,13404
Radeon Pro Vega 64X,13369
Intel Arc A770,13347
RTX PRO 500 Blackwell Generation Laptop GPU,13345
A100-SXM4-40GB,13326
Tesla P100-PCIE-12GB,13310
Radeon PRO W7500,13299
Radeon RX 6800M,13275
Radeon PRO W7900 Dual Slot,13182
GeForce RTX 3060 Laptop GPU,13161
Radeon PRO V710 MxGPU,13130
Radeon PRO W6600X,13113
Radeon RX 6600S,13016
Radeon RX Vega 56,13009
Radeon Pro Vega 64,12882
VirtualMonitor Device,12754
Tesla V100-SXM2-16GB,12746
GeForce RTX 2080 with Max-Q Design,12735
RTX A3000 Laptop GPU,12713
Quadro RTX 5000 with Max-Q Design,12713
GeForce GTX 1660 Ti,12710
Radeon Vega Frontier Edition,12708
Quadro P5000,12690
GeForce GTX 1660 SUPER,12690
Intel Arc A750,12619
GRID RTX6000-1Q,12617
Radeon Pro WX 8200,12615
GeForce GTX TITAN X,12565
GeForce RTX 3050 8GB,12514
Radeon Pro 5700 XT,12457
Quadro P5200 with Max-Q Design,12414
GeForce RTX 2070 (Mobile),12357
Radeon RX 5600 OEM,12345
Tesla V100-PCIE-16GB,12328
Radeon RX 6850M,12274
Radeon Pro V520 MxGPU,12258
Intel Arc Pro B50,12236
A10-24Q,12090
Intel Arc A580,12086
Radeon Pro Vega 56,12061
Quadro RTX 4000 with Max-Q Design,12060
GeForce RTX 3050 Laptop GPU,12003
Radeon RX 7400,11909
GeForce RTX 3050 OEM,11905
Radeon Pro WX 9100,11898
Intel Arc A770M,11859
RTX A4000H,11815
Tesla P100-PCIE-16GB,11814
Quadro M6000,11767
