cpu_name,passmark_score,passmark_rank,passmark_value
Apple M2 Pro 10 Core 3480 MHz,21947,794,
Apple M2 Pro 12 Core 3480 MHz,26709,600,
Apple M2 Ultra 24 Core,50825,225,
Apple M3 8 Core,19090,951,
Apple M3 Max 14 Core,36495,364,
Apple M3 Max 16 Core,41274,310,
Apple M3 Pro 11 Core,24870,664,
Apple M3 Pro 12 Core,24097,698,
Apple M3 Ultra 28 Core,68728,109,
Apple M3 Ultra 32 Core,72171,96,
Apple M4 10 Core,23708,714,
Apple M4 8 Core,20737,859,
Apple M4 9 Core,22201,780,
Apple M4 Max 14 Core,38563,342,
Apple M4 Max 16 Core,44037,286,
Apple M4 Pro 12 Core,32813,424,
Apple M4 Pro 14 Core,38127,347,
ARM - 10 Core 0 MHz,10088,1532,
ARM - 10 Core 2000 MHz,9787,1563,
ARM - 12 Core 0 MHz,14163,1242,
ARM - 12 Core 2000 MHz,16944,1079,
ARM - 16 Core 0 MHz,19753,917,
ARM - 2 Core 0 MHz,2368,3321,
ARM - 20 Core 0 MHz,22504,765,
ARM - 32 Core 2911 MHz,8132,1734,
ARM - 32 Core 3000 MHz,8376,1701,
ARM - 32 Core 3300 MHz,8684,1669,
ARM - 4 Core 0 MHz,5816,2143,
ARM - 4 Core 1800 MHz,3185,2886,
ARM - 4 Core 1804 MHz,3336,2822,
ARM - 4 Core 2016 MHz,3653,2697,
ARM - 6 Core 0 MHz,8515,1690,
ARM - 6 Core 1800 MHz,2039,3527,
ARM - 8 Core 0 MHz,8515,1689,
ARM - 8 Core 1766 MHz,4080,2559,
ARM - 8 Core 1800 MHz,3192,2882,
ARM - 8 Core 2208 MHz,2270,3384,
ARM - 8 Core 2424 MHz,8610,1678,
ARM Ampere-1 4 Core 0 MHz,3034,2962,
ARM Ampere-1a 192 Core 2600 MHz,47202,256,
ARM Apple M1 (Virtual) 4 Core 0 MHz,10123,1531,
ARM Apple M1 Max (Virtual) 10 Core 0 MHz,21197,835,
ARM Apple M5 10 Core,27452,577,
ARM Apple M5 8 Core,21992,792,
ARM ARMv7 rev 0 (v7l) 4 Core 0 MHz,335,5183,
ARM ARMv7 rev 1 (v7l) 4 Core 1608 MHz,776,4639,
ARM ARMv7 rev 1 (v7l) 4 Core 1800 MHz,913,4478,
ARM ARMv7 rev 3 (v7l) 4 Core 2065 MHz,984,4408,
ARM ARMv7 rev 3 (v7l) 4 Core 2116 MHz,1115,4255,
ARM ARMv7 rev 4 (v7l) 2 Core 960 MHz,119,5494,
ARM ARMv7 rev 4 (v7l) 4 Core 1200 MHz,398,5097,
ARM ARMv7 rev 4 (v7l) 4 Core 1400 MHz,399,5096,
ARM ARMv7 rev 5 (v7l) 2 Core 0 MHz,113,5506,
ARM ARMv7 rev 5 (v7l) 4 Core 1200 MHz,325,5201,
ARM ARMv8 6 Core 0 MHz,4262,2508,
ARM ARMv8 8 Core 2500 MHz,4102,2550,
ARM ARMv8 rev 1 (v8l) 4 Core 1510 MHz,1042,4343,
ARM ARMv8 rev 1 (v8l) 4 Core 1984 MHz,1473,3935,
ARM ARMv8 rev 1 (v8l) 6 Core 1510 MHz,2553,3207,
ARM ARMv8 rev 1 (v8l) 6 Core 1971 MHz,2510,3232,
ARM ARMv8 rev 1 (v8l) 6 Core 1984 MHz,2776,3078,
ARM Avalanche-M2 4 Core 2424 MHz,8012,1754,
ARM CIX P1 CD8180 7 Core 2500 MHz,5505,2226,
ARM Cortex-A15 4 Core 1400 MHz,1185,4185,
ARM Cortex-A15 4 Core 1500 MHz,1304,4073,
ARM Cortex-A15 4 Core 2000 MHz,923,4471,
ARM Cortex-A15 8 Core 1400 MHz,1160,4208,
ARM Cortex-A17 3 Core 0 MHz,503,4982,
ARM Cortex-A17 4 Core 1800 MHz,781,4636,
ARM Cortex-A35 4 Core 0 MHz,413,5073,
ARM Cortex-A35 4 Core 1200 MHz,329,5197,
ARM Cortex-A35 4 Core 1296 MHz,323,5203,
ARM Cortex-A35 4 Core 2004 MHz,546,4926,
ARM Cortex-A53 1 Core 0 MHz,65,5526,
ARM Cortex-A53 2 Core 0 MHz,139,5470,
ARM Cortex-A53 4 Core 0 MHz,345,5159,
ARM Cortex-A53 4 Core 1000 MHz,215,5359,
ARM Cortex-A53 4 Core 1008 MHz,313,5220,
ARM Cortex-A53 4 Core 1152 MHz,338,5174,
ARM Cortex-A53 4 Core 1199 MHz,408,5082,
ARM Cortex-A53 4 Core 1200 MHz,277,5266,
ARM Cortex-A53 4 Core 1296 MHz,416,5069,
ARM Cortex-A53 4 Core 1300 MHz,438,5043,
ARM Cortex-A53 4 Core 1333 MHz,207,5367,
ARM Cortex-A53 4 Core 1368 MHz,385,5118,
ARM Cortex-A53 4 Core 1392 MHz,417,5066,
ARM Cortex-A53 4 Core 1400 MHz,271,5275,
ARM Cortex-A53 4 Core 1416 MHz,466,5023,
ARM Cortex-A53 4 Core 1500 MHz,363,5140,
ARM Cortex-A53 4 Core 1512 MHz,470,5016,
ARM Cortex-A53 4 Core 1536 MHz,222,5354,
ARM Cortex-A53 4 Core 1600 MHz,479,5009,
ARM Cortex-A53 4 Core 1608 MHz,462,5027,
ARM Cortex-A53 4 Core 1704 MHz,556,4920,
ARM Cortex-A53 4 Core 1800 MHz,510,4974,
ARM Cortex-A53 4 Core 1908 MHz,638,4819,
ARM Cortex-A53 4 Core 1968 MHz,571,4895,
ARM Cortex-A53 4 Core 2016 MHz,449,5037,
ARM Cortex-A53 4 Core 2040 MHz,593,4864,
ARM Cortex-A53 4 Core 600 MHz,220,5356,
ARM Cortex-A53 6 Core 1896 MHz,1851,3659,
ARM Cortex-A53 8 Core 1512 MHz,739,4690,
ARM Cortex-A55 4 Core 0 MHz,415,5071,
ARM Cortex-A55 4 Core 1416 MHz,505,4981,
ARM Cortex-A55 4 Core 1800 MHz,630,4827,
ARM Cortex-A55 4 Core 1908 MHz,707,4733,
ARM Cortex-A55 4 Core 1992 MHz,680,4764,
ARM Cortex-A55 4 Core 2000 MHz,711,4727,
ARM Cortex-A55 4 Core 2016 MHz,755,4668,
ARM Cortex-A55 4 Core 2100 MHz,695,4748,
ARM Cortex-A55 4 Core 2124 MHz,742,4684,
ARM Cortex-A55 4 Core 2208 MHz,798,4613,
ARM Cortex-A55 4 Core 2508 MHz,958,4434,
ARM Cortex-A55 6 Core 1800 MHz,988,4403,
ARM Cortex-A55 8 Core 1416 MHz,1122,4246,
ARM Cortex-A55 8 Core 1500 MHz,536,4942,
ARM Cortex-A55 8 Core 1800 MHz,3163,2900,
ARM Cortex-A57 2 Core 1479 MHz,318,5208,
ARM Cortex-A57 4 Core 0 MHz,888,4507,
ARM Cortex-A57 4 Core 1479 MHz,956,4436,
ARM Cortex-A57 4 Core 1734 MHz,1170,4197,
ARM Cortex-A57 4 Core 1912 MHz,990,4399,
ARM Cortex-A57 4 Core 2014 MHz,1229,4143,
ARM Cortex-A57 4 Core 2091 MHz,1148,4223,
ARM Cortex-A57 4 Core 2295 MHz,1080,4295,
ARM Cortex-A57 8 Core 1500 MHz,1022,4364,
ARM Cortex-A57 8 Core 1766 MHz,3766,2658,
ARM Cortex-A7 2 Core 1080 MHz,142,5465,
ARM Cortex-A7 2 Core 960 MHz,111,5508,
ARM Cortex-A7 2 Core 996 MHz,138,5472,
ARM Cortex-A7 4 Core 1000 MHz,278,5265,
ARM Cortex-A7 4 Core 1008 MHz,269,5278,
ARM Cortex-A7 4 Core 1200 MHz,229,5344,
ARM Cortex-A7 4 Core 1296 MHz,253,5299,
ARM Cortex-A7 4 Core 1300 MHz,343,5165,
ARM Cortex-A7 4 Core 1368 MHz,354,5149,
ARM Cortex-A7 4 Core 1392 MHz,318,5207,
ARM Cortex-A7 4 Core 900 MHz,232,5339,
ARM Cortex-A715 4 Core 2200 MHz,3432,2773,
ARM Cortex-A72 1 Core 0 MHz,400,5094,
ARM Cortex-A72 16 Core 0 MHz,5192,2301,
ARM Cortex-A72 16 Core 2000 MHz,5110,2325,
ARM Cortex-A72 16 Core 2200 MHz,5470,2237,
ARM Cortex-A72 2 Core 0 MHz,693,4750,
ARM Cortex-A72 2 Core 1199 MHz,509,4975,
ARM Cortex-A72 2 Core 1703 MHz,842,4567,
ARM Cortex-A72 4 Core 0 MHz,2088,3500,
ARM Cortex-A72 4 Core 1000 MHz,608,4851,
ARM Cortex-A72 4 Core 1200 MHz,174,5422,
ARM Cortex-A72 4 Core 1416 MHz,927,4469,
ARM Cortex-A72 4 Core 1500 MHz,618,4843,
ARM Cortex-A72 4 Core 1600 MHz,667,4786,
ARM Cortex-A72 4 Core 1700 MHz,541,4933,
ARM Cortex-A72 4 Core 1750 MHz,335,5181,
ARM Cortex-A72 4 Core 1800 MHz,675,4774,
ARM Cortex-A72 4 Core 1850 MHz,199,5377,
ARM Cortex-A72 4 Core 1900 MHz,742,4685,
ARM Cortex-A72 4 Core 2000 MHz,762,4658,
ARM Cortex-A72 4 Core 2016 MHz,2201,3430,
ARM Cortex-A72 4 Core 2100 MHz,675,4772,
ARM Cortex-A72 4 Core 2200 MHz,793,4619,
ARM Cortex-A72 4 Core 2208 MHz,2290,3368,
ARM Cortex-A72 4 Core 2300 MHz,873,4526,
ARM Cortex-A72 4 Core 2394 MHz,1254,4117,
ARM Cortex-A72 4 Core 2400 MHz,1158,4211,
ARM Cortex-A72 4 Core 2800 MHz,314,5217,
ARM Cortex-A72 4 Core 800 MHz,279,5262,
ARM Cortex-A72 6 Core 1008 MHz,734,4699,
ARM Cortex-A72 6 Core 1416 MHz,1071,4312,
ARM Cortex-A72 6 Core 1512 MHz,1183,4188,
ARM Cortex-A72 8 Core 0 MHz,3254,2856,
ARM Cortex-A72 8 Core 2016 MHz,2208,3425,
ARM Cortex-A720 12 Core 2600 MHz,6920,1928,
ARM Cortex-A720 6 Core 2600 MHz,7226,1870,
ARM Cortex-A720 8 Core 2600 MHz,6141,2073,
ARM Cortex-A725 10 Core 2808 MHz,25124,651,
ARM Cortex-A73 4 Core 0 MHz,908,4490,
ARM Cortex-A73 4 Core 1800 MHz,891,4503,
ARM Cortex-A73 4 Core 1844 MHz,1368,4020,
ARM Cortex-A73 4 Core 1900 MHz,1547,3883,
ARM Cortex-A73 4 Core 1989 MHz,1783,3716,
ARM Cortex-A73 4 Core 2100 MHz,1185,4186,
ARM Cortex-A73 4 Core 2208 MHz,1211,4158,
ARM Cortex-A73 6 Core 1896 MHz,1242,4130,
ARM Cortex-A73 6 Core 1992 MHz,1311,4069,
ARM Cortex-A73 6 Core 2016 MHz,1445,3959,
ARM Cortex-A73 8 Core 1989 MHz,1803,3699,
ARM Cortex-A76 2 Core 0 MHz,1949,3586,
ARM Cortex-A76 4 Core 1500 MHz,1488,3930,
ARM Cortex-A76 4 Core 1608 MHz,2698,3118,
ARM Cortex-A76 4 Core 1800 MHz,3117,2920,
ARM Cortex-A76 4 Core 2000 MHz,1513,3917,
ARM Cortex-A76 4 Core 2400 MHz,2175,3450,
ARM Cortex-A76 4 Core 2500 MHz,2342,3340,
ARM Cortex-A76 4 Core 2600 MHz,2327,3348,
ARM Cortex-A76 4 Core 2700 MHz,2383,3309,
ARM Cortex-A76 4 Core 2800 MHz,2477,3246,
ARM Cortex-A76 4 Core 2900 MHz,2624,3162,
ARM Cortex-A76 4 Core 3000 MHz,2619,3167,
ARM Cortex-A76 4 Core 3100 MHz,2734,3102,
ARM Cortex-A76 4 Core 3200 MHz,2579,3190,
ARM Cortex-A76 4 Core 3300 MHz,2493,3238,
ARM Cortex-A76 4 Core 3400 MHz,2580,3189,
ARM Cortex-A76 8 Core 0 MHz,1917,3605,
ARM Cortex-A76 8 Core 1800 MHz,3064,2946,
ARM Cortex-A78 4 Core 1958 MHz,3378,2802,
ARM Cortex-A78 4 Core 2000 MHz,3016,2971,
ARM Cortex-A78 8 Core,2845,3048,
ARM Cortex-A78AE 10 Core 2112 MHz,5520,2222,
ARM Cortex-A78AE 12 Core 2201 MHz,6895,1931,
ARM Cortex-A78AE 16 Core 0 MHz,9072,1639,
ARM Cortex-A78AE 6 Core 1510 MHz,2418,3292,
ARM Cortex-A78AE 6 Core 1728 MHz,2778,3077,
ARM Cortex-A78AE 8 Core 1984 MHz,3764,2659,
ARM Cortex-A78AE 8 Core 2201 MHz,3788,2648,
ARM Cortex-X1 4 Core 0 MHz,2326,3349,
ARM Cortex-X1 4 Core 1803 MHz,2348,3338,
ARM Cortex-X1C 4 Core 2438 MHz,6007,2109,
ARM D2000/8 8 Core 2300 MHz,2674,3129,
ARM Falkor V1/Kryo 4 Core 1612 MHz,1453,3949,
ARM Falkor V1/Kryo 8 Core 1900 MHz,1652,3806,
ARM Falkor-V1/Kryo 4 Core 1900 MHz,1656,3799,
ARM Firestorm 4 Core 2064 MHz,7804,1776,
ARM Firestorm 8 Core 2064 MHz,6775,1952,
ARM Firestorm-M1 4 Core 2064 MHz,7752,1782,
ARM Firestorm-M1-Pro 8 Core 2064 MHz,9872,1556,
ARM FT-2000+/64 64 Core 0 MHz,9605,1579,
ARM FT-2000/4 4 Core 2200 MHz,881,4519,
ARM FTC662 64 Core 0 MHz,8008,1755,
ARM FTC663 8 Core 0 MHz,2408,3299,
"ARM HUAWEI,Kunpeng 920 24 Core 2600 MHz",9496,1587,
ARM Krait 4 Core 0 MHz,393,5102,
ARM Kryo-3XX-Gold 4 Core 1766 MHz,2222,3418,
ARM Kryo-3XX-Gold 8 Core 1766 MHz,2372,3318,
ARM Kryo-4XX-Gold 1 Core 0 MHz,769,4648,
ARM Kryo-4XX-Gold 8 Core 0 MHz,3864,2621,
ARM Kryo-4XX-Gold 8 Core 1804 MHz,2531,3222,
ARM Kryo-4XX-Silver 4 Core 1766 MHz,3696,2686,
ARM Kryo-4XX-Silver 4 Core 1804 MHz,3172,2892,
ARM Kunpeng-920 16 Core 0 MHz,7202,1876,
ARM Kunpeng-920 24 Core 0 MHz,8870,1657,
ARM Kunpeng-920 24 Core 2600 MHz,9841,1560,
ARM Kunpeng-920 8 Core 0 MHz,3989,2582,
ARM Kunpeng-920 8 Core 2600 MHz,3910,2608,
ARM Neoverse-N1 1 Core 0 MHz,724,4711,
ARM Neoverse-N1 10 Core 0 MHz,7390,1841,
ARM Neoverse-N1 12 Core 0 MHz,8994,1648,
ARM Neoverse-N1 128 Core 2600 MHz,35265,381,
ARM Neoverse-N1 128 Core 2800 MHz,43111,296,
ARM Neoverse-N1 128 Core 3000 MHz,39780,332,
ARM Neoverse-N1 16 Core 0 MHz,11451,1437,
ARM Neoverse-N1 2 Core 0 MHz,1516,3915,
ARM Neoverse-N1 3 Core 0 MHz,2385,3306,
ARM Neoverse-N1 32 Core 0 MHz,17384,1059,
ARM Neoverse-N1 32 Core 1700 MHz,11841,1404,
ARM Neoverse-N1 4 Core 0 MHz,3117,2919,
ARM Neoverse-N1 48 Core 0 MHz,27266,583,
ARM Neoverse-N1 5 Core 0 MHz,3981,2585,
ARM Neoverse-N1 6 Core 0 MHz,4575,2435,
ARM Neoverse-N1 60 Core 0 MHz,30828,471,
ARM Neoverse-N1 64 Core 0 MHz,28040,555,
ARM Neoverse-N1 64 Core 2200 MHz,20250,893,
ARM Neoverse-N1 64 Core 3000 MHz,17515,1046,
ARM Neoverse-N1 8 Core 0 MHz,5976,2115,
ARM Neoverse-N1 80 Core 0 MHz,34878,386,
ARM Neoverse-N1 80 Core 2600 MHz,18823,961,
ARM Neoverse-N1 80 Core 2800 MHz,11755,1412,
ARM Neoverse-N1 80 Core 3000 MHz,34788,389,
ARM Neoverse-N1 96 Core 2800 MHz,29890,503,
ARM Neoverse-N2 16 Core 0 MHz,14636,1205,
ARM Neoverse-N2 2 Core 0 MHz,1987,3562,
ARM Neoverse-N2 4 Core 0 MHz,4002,2581,
ARM Neoverse-N2 8 Core 2500 MHz,5544,2215,
ARM Neoverse-V1 1 Core 0 MHz,785,4629,
ARM Neoverse-V1 16 Core 0 MHz,11519,1431,
ARM Neoverse-V1 2 Core 0 MHz,1567,3864,
ARM Neoverse-V1 4 Core 0 MHz,3084,2940,
ARM Neoverse-V2 1 Core 0 MHz,944,4449,
ARM Neoverse-V2 2 Core 0 MHz,1995,3560,
ARM Neoverse-V2 4 Core 0 MHz,3940,2597,
ARM Neoverse-V2 72 Core 3411 MHz,56432,189,
ARM Neoverse-V2 72 Core 3447 MHz,57299,180,
ARM Neoverse-V2 72 Core 3465 MHz,57369,178,
ARM Neoverse-V2 72 Core 3519 MHz,57240,181,
ARM Neoverse-V2 96 Core 0 MHz,56557,188,
ARM Oryon 12 Core 3417 MHz,14036,1256,
ARM Oryon 8 Core 0 MHz,4955,2353,
ARM Phytium D3000 8 Core 2500 MHz,5528,2220,
ARM phytium FT1500a 4 Core 2000 MHz,1579,3857,
ARM Phytium FTC303 2 Core 1800 MHz,786,4628,
"ARM Phytium,D2000/8 8 Core 2000 MHz",2409,3297,
"ARM Phytium,D2000/8 8 Core 2300 MHz",2690,3122,
"ARM Phytium,D2000/8 E8C 8 Core 2300 MHz",2522,3227,
"ARM Phytium,FT-2000/4 4 Core 0 MHz",1658,3797,
"ARM Phytium,FT-2000/4 8 Core 2300 MHz",2720,3106,
"ARM Phytium,FT-D3000 8 Core 2500 MHz",5601,2198,
ARM Phytium-D3000M 8-C 8 Core 1800 MHz,4541,2441,
ARM X-Gene 32 Core 3000 MHz,8202,1722,
ARM X-Gene 32 Core 3300 MHz,8684,1670,
ARM X-Gene 8 Core 0 MHz,1091,4279,
ASUS Tinker Board 2/2S,1771,3725,
Athlon 64 Dual Core 3800+,736,4695,
Athlon 64 Dual Core 5000+,850,4554,
Athlon 64 Dual Core 5600+,875,4525,
Athlon Dual Core 4050e,670,4780,
Athlon Dual Core 4450e,681,4763,
Athlon Dual Core 4850e,769,4649,
BCM2711,852,4553,
BCM2712,3284,2841,
BCM2835,1239,4134,
Broadcom BCM2712,4376,2481,
Broadcom STB (Flattened Device Tree),659,4797,
C-QuadCore C4600@2.0GHz,1412,3993,
Celeron Dual-Core T3000 @ 1.80GHz,650,4808,
Celeron Dual-Core T3100 @ 1.90GHz,625,4831,17.52
Celeron Dual-Core T3300 @ 2.00GHz,633,4824,42.31
Celeron Dual-Core T3500 @ 2.10GHz,764,4653,
CentaurHauls @2000MHz,6549,1993,
CentaurHauls @2400MHz,7784,1779,
CentaurHauls @2500MHz,8014,1752,
CIX P1 CD8180,9277,1614,
CIX P1 CP8180,9892,1553,
Common KVM v2,2127,3474,
Cortex-A76,51,5527,
DG1201SLF87HW,2369,3320,
DG1301SML87HY,3624,2714,
DG1401SNF87ID,3645,2703,
DG1701SNF87IG,2981,2992,
DO-Regular,1077,4302,
Dragonwing QCS5430,4650,2413,
Dragonwing QCS6490,6123,2080,
Dual-Core AMD Opteron 1220 SE,748,4677,
Embedded Ryzen V4728X,24000,702,
Essgoo,497,4986,
Fabrikams XY9 @ 3.15 GHz,6715,1964,
Firestorm-M1,4295,2499,
General Purpose,3396,2790,
Generic DT based system,639,4818,
Giada JHS558 (Android),2022,3540,
Google GS201,7208,1875,
Google R11 BtWifi Evt1.1,187,5403,
Google Tensor,6700,1969,
Google Tensor G3,8049,1745,
Google Tensor G4,8265,1712,
Google Tensor G5,12095,1390,
Grandstream GXV3480 Video Phone,1078,4300,
Hardkernel ODROID-N2Plus,2115,3481,
"Haydn based on Qualcomm Technologies, Inc SM8350",5392,2252,
hi6210sft,796,4614,
hi6250,2200,3432,
hi6620oem,396,5098,
High Performance Datacenter v,1610,3827,
HiSilicon Kirin,6490,2011,
HiSilicon Kirin 20,5949,2121,
HiSilicon Kirin 659,1893,3631,
HiSilicon Kirin 710,3016,2972,
Hisilicon Kirin 925,1053,4333,
Hisilicon Kirin 930,1415,3991,
Hisilicon Kirin 935,1599,3837,
HiSilicon Kirin 950,2660,3140,
Hisilicon Kirin 955,2936,3013,
HiSilicon Kirin 960,2897,3026,
HiSilicon Kirin 970,2908,3022,
Hisilicon Kirin 990,4021,2576,
Hisilicon Kirin710,2447,3268,
Hisilicon Kirin810,2945,3008,
Hisilicon Kirin820,4368,2485,
Hisilicon Kirin9000,5083,2331,
Hisilicon Kirin970,2692,3120,
Hisilicon Kirin980,4394,2477,
Hisilicon Kirin985,4162,2529,
HP Hexa-Core 2.0GHz,1741,3746,3.45
Hygon C86 3185 8-core,9243,1620,
Hygon C86 3250 8-core,11365,1442,
Hygon C86 3330 4-core,6031,2104,
Hygon C86 3350 8-core,12795,1344,
Hygon C86 3350E 8-core,10771,1490,
Hygon C86 3350M 8-core,4801,2380,
Hygon C86 52xx series,4080,2561,
Hygon C86 7255 16-core,18831,960,
Hygon C86-3G,12691,1355,
Hygon C86-3G (OPN 3350M),4660,2408,
Hygon C86-3G (OPN:3350),11328,1449,
Hygon C86-3G (OPN:3350M),4742,2392,
Hygon C86-3G-3G (OPN:3350),11712,1415,
Hygon C86-4G (OPN:3450M),16306,1109,
Hygon C86-4G (OPN:3490),21968,793,
Hygon C86-4G (OPN:5440),21230,833,
Hygon Dhyana,9784,1565,
Intel 2.80GHz,341,5168,
Intel 300,7264,1858,88.59
Intel 300T,5567,2209,67.89
Intel Atom 230 @ 1.60GHz,169,5426,
Intel Atom 330 @ 1.60GHz,381,5125,
Intel Atom C1110,3170,2894,
Intel Atom C2338 @ 1.74GHz,584,4880,
Intel Atom C2350 @ 1.74GHz,531,4952,12.35
Intel Atom C2358 @ 1.74GHz,562,4911,
Intel Atom C2538 @ 2.40GHz,968,4423,9.31
Intel Atom C2550 @ 2.40GHz,1422,3989,
Intel Atom C2558 @ 2.40GHz,1424,3984,10.47
Intel Atom C2750 @ 2.40GHz,2787,3070,12.01
Intel Atom C2750 @ 2.41GHz,2174,3452,
Intel Atom C2758 @ 2.40GHz,2317,3355,10.78
Intel Atom C3338 @ 1.50GHz,1028,4357,
Intel Atom C3508 @ 1.60GHz,1831,3674,20.87
Intel Atom C3538 @ 2.10GHz,1910,3614,25.46
Intel Atom C3558 @ 2.20GHz,2431,3278,28.27
Intel Atom C3708 @ 1.70GHz,3750,2665,16.74
Intel Atom C3758 @ 2.20GHz,4652,2412,24.1
Intel Atom C3758R @ 2.40GHz,5098,2327,22.76
Intel Atom C3808 @ 2.00GHz,5671,2180,14.36
Intel Atom C3858 @ 2.00GHz,5040,2338,15.18
Intel Atom C3958 @ 2.00GHz,3929,2600,8.75
Intel Atom C5125,8631,1674,28.87
Intel Atom C5315,2980,2993,
Intel Atom D2500 @ 1.86GHz,251,5305,
Intel Atom D2550 @ 1.86GHz,428,5053,
Intel Atom D2560 @ 2.00GHz,433,5046,
Intel Atom D2700 @ 2.13GHz,467,5022,
Intel Atom D2701 @ 2.13GHz,515,4970,
Intel Atom D410 @ 1.66GHz,180,5414,0.28
Intel Atom D425 @ 1.80GHz,185,5404,0.19
Intel Atom D510 @ 1.66GHz,406,5084,7.8
Intel Atom D525 @ 1.80GHz,402,5090,
Intel Atom E3805 @ 1.33GHz,406,5083,20.31
Intel Atom E3815 @ 1.46GHz,193,5393,1.43
Intel Atom E3825 @ 1.33GHz,378,5128,5.37
Intel Atom E3826 @ 1.46GHz,334,5186,
Intel Atom E3827 @ 1.74GHz,480,5008,
Intel Atom E3840 @ 1.91GHz,704,4739,
Intel Atom E3845 @ 1.91GHz,1071,4311,
Intel Atom E3900 @ 1.60GHz,1953,3583,
Intel Atom N2100 @ 1.60GHz,193,5392,
Intel Atom N2600 @ 1.60GHz,344,5161,
Intel Atom N270 @ 1.60GHz,136,5475,
Intel Atom N280 @ 1.66GHz,157,5445,
Intel Atom N2800 @ 1.86GHz,444,5038,
Intel Atom N435 @ 1.33GHz,153,5452,
Intel Atom N450 @ 1.66GHz,204,5374,
Intel Atom N455 @ 1.66GHz,188,5400,
Intel Atom N470 @ 1.83GHz,224,5349,
Intel Atom N475 @ 1.83GHz,179,5416,
Intel Atom N550 @ 1.50GHz,304,5233,3.54
Intel Atom N570 @ 1.66GHz,360,5144,4.18
Intel Atom P5322,7378,1842,20.96
Intel Atom P5342,13085,1327,20.7
Intel Atom P5362,17276,1062,24.4
Intel Atom S1260 @ 2.00GHz,526,4960,8.22
Intel Atom T5700 @ 1.70GHz,2363,3329,
Intel Atom x5-E3930 @ 1.30GHz,865,4536,
Intel Atom x5-E3940 @ 1.60GHz,1816,3687,
Intel Atom x5-E8000 @ 1.04GHz,971,4422,
Intel Atom x5-Z8300 @ 1.44GHz,843,4565,6.34
Intel Atom x5-Z8330 @ 1.44GHz,800,4609,
Intel Atom x5-Z8350 @ 1.44GHz,894,4500,42.55
Intel Atom x5-Z8500 @ 1.44GHz,1242,4132,19.84
Intel Atom x5-Z8550 @ 1.44GHz,1143,4228,
Intel Atom x6211E @ 1.20GHz,1695,3771,48.43
Intel Atom x6211E @ 1.30GHz,1762,3734,50.34
Intel Atom x6214RE @ 1.40GHz,1109,4260,23.59
Intel Atom x6413E @ 1.50GHz,3783,2651,87.98
Intel Atom x6414RE @ 1.50GHz,2128,3473,38.69
Intel Atom x6425E @ 2.00GHz,3675,2692,65.62
Intel Atom x6425RE @ 1.90GHz,2819,3058,47.78
Intel Atom x6427FE @ 1.90GHz,3196,2881,38.51
Intel Atom x7-E3950 @ 1.60GHz,2071,3511,
Intel Atom x7-Z8700 @ 1.60GHz,1327,4054,18.02
Intel Atom x7-Z8750 @ 1.60GHz,1294,4082,
Intel Atom x7211E,2553,3206,65.47
Intel Atom x7211RE,2188,3440,52.1
Intel Atom x7213RE,2594,3179,55.2
Intel Atom x7405C,5218,2299,
Intel Atom x7425E,5407,2249,
Intel Atom x7433RE,4049,2572,
Intel Atom x7809C,9409,1600,80.42
Intel Atom x7835RE,7062,1896,55.61
Intel Atom Z2760 @ 1.80GHz,298,5239,
Intel Atom Z3530 @ 1.33GHz,565,4904,
Intel Atom Z3560 @ 1.00GHz,749,4674,
Intel Atom Z3560 @ 1.83GHz,690,4754,
Intel Atom Z3580 @ 1.33GHz,802,4605,
Intel Atom Z3735D @ 1.33GHz,704,4736,
Intel Atom Z3735E @ 1.33GHz,557,4918,4.76
Intel Atom Z3735F @ 1.33GHz,542,4931,1.08
Intel Atom Z3735G @ 1.33GHz,772,4645,
Intel Atom Z3736F @ 1.33GHz,496,4989,
Intel Atom Z3740 @ 1.33GHz,638,4820,
Intel Atom Z3740D @ 1.33GHz,618,4840,
Intel Atom Z3745 @ 1.33GHz,621,4836,20.72
Intel Atom Z3745D @ 1.33GHz,599,4858,
Intel Atom Z3770 @ 1.46GHz,728,4703,4.87
Intel Atom Z3770D @ 1.49GHz,488,4996,
Intel Atom Z3775 @ 1.46GHz,702,4740,1.4
Intel Atom Z3775D @ 1.49GHz,794,4617,
Intel Atom Z3795 @ 1.60GHz,1196,4175,
Intel Atom Z520 @ 1.33GHz,122,5490,
Intel Atom Z530 @ 1.60GHz,183,5410,
Intel Atom Z670 @ 1.50GHz,158,5442,
Intel CC150 @ 3.50GHz,14369,1224,
Intel Celeron 1.70GHz,101,5512,
Intel Celeron 1.80GHz,96,5516,
Intel Celeron 1000M @ 1.80GHz,1064,4320,
Intel Celeron 1000MHz,139,5468,
Intel Celeron 1005M @ 1.90GHz,1119,4251,
Intel Celeron 1007U @ 1.50GHz,844,4563,4.56
Intel Celeron 1017U @ 1.60GHz,884,4514,
Intel Celeron 1019Y @ 1.00GHz,576,4888,
Intel Celeron 1020E @ 2.20GHz,1406,4002,31.26
Intel Celeron 1020M @ 2.10GHz,1275,4100,
Intel Celeron 1037U @ 1.80GHz,1036,4347,
Intel Celeron 1047UE @ 1.40GHz,748,4675,
Intel Celeron 1100MHz,113,5505,7.55
Intel Celeron 1200MHz,159,5441,
Intel Celeron 2.00GHz,125,5486,
Intel Celeron 2.13GHz,166,5430,
Intel Celeron 2.20GHz,139,5471,
