cpu_name,passmark_score,passmark_rank,passmark_value
AMD A8-7200P,2158,3458,
AMD A8-7410 APU,1814,3688,
AMD A8-7500,3302,2835,
AMD A8-7600 APU,3213,2877,13.11
AMD A8-7650K,3113,2923,81.95
AMD A8-7670K,3267,2849,14.78
AMD A8-7680,3526,2738,96.0
AMD A8-7690K,2157,3459,
AMD A8-8600P,2464,3253,
AMD A8-8650,3103,2931,
AMD A8-9600,3282,2843,250.52
AMD A9-9400,1287,4086,
AMD A9-9410,1543,3889,
AMD A9-9420,1534,3895,
AMD A9-9420e,1093,4274,
AMD A9-9425,1520,3910,
AMD A9-9430,1707,3763,
AMD A9-9820,3958,2591,
AMD Athlon 1500+,191,5397,
AMD Athlon 1640B,376,5129,7.51
AMD Athlon 200GE,4107,2548,33.15
AMD Athlon 220GE,4444,2460,36.39
AMD Athlon 240GE,4561,2438,46.42
AMD Athlon 2650e,274,5272,14.43
AMD Athlon 2800+,291,5249,2.65
AMD Athlon 2850e,333,5190,
AMD Athlon 3000G,4445,2459,63.72
AMD Athlon 300GE,4269,2507,
AMD Athlon 300U,3833,2634,
AMD Athlon 320GE,4411,2474,
AMD Athlon 5000 Dual-Core,872,4528,7.94
AMD Athlon 5150 APU,1412,3994,11.72
AMD Athlon 5200 Dual-Core,869,4533,16.4
AMD Athlon 5350 APU,1797,3705,12.16
AMD Athlon 5370 APU,1906,3621,3.18
AMD Athlon 64 2000+,154,5450,
AMD Athlon 64 2600+,243,5314,
AMD Athlon 64 2800+,295,5243,2.95
AMD Athlon 64 3000+,342,5167,17.08
AMD Athlon 64 3100+,484,5004,
AMD Athlon 64 3200+,305,5230,2.03
AMD Athlon 64 3300+,375,5131,
AMD Athlon 64 3400+,317,5209,3.17
AMD Athlon 64 3500+,367,5136,4.59
AMD Athlon 64 3700+,394,5101,4.38
AMD Athlon 64 3800+,332,5194,2.53
AMD Athlon 64 4000+,340,5170,3.4
AMD Athlon 64 FX-55,404,5086,6.22
AMD Athlon 64 FX-57,517,4964,
AMD Athlon 64 FX-59,465,5025,
AMD Athlon 64 FX-60 Dual Core,709,4730,
AMD Athlon 64 FX-62 Dual Core,993,4396,3.97
AMD Athlon 64 FX-74,972,4420,1.95
AMD Athlon 64 X2 Dual Core 3400+,531,4953,
AMD Athlon 64 X2 Dual Core 3600+,618,4842,9.05
AMD Athlon 64 X2 Dual Core 3800+,623,4834,
AMD Athlon 64 X2 Dual Core 4000+,701,4743,
AMD Athlon 64 X2 Dual Core 4200+,730,4701,6.64
AMD Athlon 64 X2 Dual Core 4400+,675,4773,2.26
AMD Athlon 64 X2 Dual Core 4600+,720,4716,2.06
AMD Athlon 64 X2 Dual Core 4800+,719,4719,4.8
AMD Athlon 64 X2 Dual Core 5000+,807,4598,2.43
AMD Athlon 64 X2 Dual Core 5200+,858,4541,14.29
AMD Athlon 64 X2 Dual Core 5400+,907,4492,17.11
AMD Athlon 64 X2 Dual Core 5600+,912,4482,8.5
AMD Athlon 64 X2 Dual Core 5800+,653,4805,21.81
AMD Athlon 64 X2 Dual Core 6000+,942,4451,24.48
AMD Athlon 64 X2 Dual Core 6400+,954,4443,3.82
AMD Athlon 64 X2 Dual Core BE-2300,594,4862,
AMD Athlon 64 X2 Dual Core BE-2350,573,4892,
AMD Athlon 64 X2 Dual-Core TK-42,577,4886,
AMD Athlon 64 X2 Dual-Core TK-53,602,4854,
AMD Athlon 64 X2 Dual-Core TK-55,518,4963,7.13
AMD Athlon 64 X2 Dual-Core TK-57,624,4833,
AMD Athlon 64 X2 QL-60,655,4801,
AMD Athlon 64 X2 QL-62,525,4961,
AMD Athlon 64 X2 QL-64,618,4838,
AMD Athlon 64 X2 QL-65,664,4793,30.17
AMD Athlon 64 X2 QL-66,641,4817,
AMD Athlon 64 X2 QL-67,582,4882,
AMD Athlon 7450 Dual-Core,789,4624,
AMD Athlon 7550 Dual-Core,977,4415,65.37
AMD Athlon 7750 Dual-Core,1005,4387,12.57
AMD Athlon 7850 Dual-Core,1058,4327,15.32
AMD Athlon Dual Core 4050e,674,4776,
AMD Athlon Dual Core 4450B,723,4712,23.31
AMD Athlon Dual Core 4450e,710,4728,49.03
AMD Athlon Dual Core 4850B,727,4707,
AMD Athlon Dual Core 4850e,799,4612,20.48
AMD Athlon Dual Core 5000B,856,4546,9.02
AMD Athlon Dual Core 5050e,846,4559,14.1
AMD Athlon Dual Core 5200B,823,4583,
AMD Athlon Dual Core 5400B,914,4477,
AMD Athlon Dual Core 5600B,737,4694,
AMD Athlon Gold 3150C,3110,2926,
AMD Athlon Gold 3150G,6922,1926,
AMD Athlon Gold 3150U,3904,2610,
AMD Athlon Gold 7220U,4900,2363,
AMD Athlon Gold PRO 3150G,7468,1825,
AMD Athlon Gold PRO 3150GE,7006,1911,
AMD Athlon Gold PRO 4150GE,8259,1714,
AMD Athlon II 160u,358,5145,11.93
AMD Athlon II 170u,355,5148,14.78
AMD Athlon II Dual-Core M300,670,4781,
AMD Athlon II Dual-Core M320,770,4647,25.66
AMD Athlon II Dual-Core M340,807,4596,
AMD Athlon II N330 Dual-Core,665,4790,
AMD Athlon II N350 Dual-Core,856,4545,
AMD Athlon II N370 Dual-Core,899,4496,
AMD Athlon II Neo K125,315,5212,
AMD Athlon II Neo K145,298,5241,
AMD Athlon II Neo K325 Dual-Core,439,5042,16.88
AMD Athlon II Neo K345 Dual-Core,527,4959,
AMD Athlon II Neo N36L Dual-Core,487,4999,
AMD Athlon II P320 Dual-Core,714,4723,35.81
AMD Athlon II P340 Dual-Core,727,4706,18.2
AMD Athlon II P360 Dual-Core,762,4660,38.18
AMD Athlon II X2 210e,1089,4285,38.23
AMD Athlon II X2 215,1011,4376,34.89
AMD Athlon II X2 220,1049,4336,17.5
AMD Athlon II X2 235e,1079,4297,11.07
AMD Athlon II X2 240,1060,4326,42.48
AMD Athlon II X2 240e,1007,4384,26.58
AMD Athlon II X2 245,1137,4234,28.52
AMD Athlon II X2 245e,1133,4240,56.74
AMD Athlon II X2 250,1183,4187,33.86
AMD Athlon II X2 250e,1202,4163,15.67
AMD Athlon II X2 250u,615,4845,24.64
AMD Athlon II X2 255,1210,4159,96.38
AMD Athlon II X2 260,1248,4126,99.94
AMD Athlon II X2 260u,713,4724,8.54
AMD Athlon II X2 265,1324,4058,13.25
AMD Athlon II X2 270,1337,4044,22.3
AMD Athlon II X2 270u,675,4771,9.98
AMD Athlon II X2 280,1384,4010,17.99
AMD Athlon II X2 4300e,990,4398,
AMD Athlon II X2 4400e,944,4448,
AMD Athlon II X2 4450e,587,4873,
AMD Athlon II X2 B22,1064,4321,41.01
AMD Athlon II X2 B24,1133,4241,47.0
AMD Athlon II X2 B26,1248,4127,50.02
AMD Athlon II X2 B28,1288,4085,33.0
AMD Athlon II X3 400e,1320,4062,51.8
AMD Athlon II X3 405e,1331,4050,11.79
AMD Athlon II X3 415e,1481,3932,19.75
AMD Athlon II X3 420e,1557,3876,13.4
AMD Athlon II X3 425,1599,3838,27.41
AMD Athlon II X3 435,1645,3810,10.29
AMD Athlon II X3 440,1743,3744,118.88
AMD Athlon II X3 445,1811,3691,60.4
AMD Athlon II X3 450,1865,3649,12.43
AMD Athlon II X3 455,1938,3593,75.25
AMD Athlon II X3 460,1965,3573,118.11
AMD Athlon II X4 553,2418,3293,
AMD Athlon II X4 555,2526,3224,
AMD Athlon II X4 557,2567,3198,
AMD Athlon II X4 559,2652,3145,
AMD Athlon II X4 600e,1795,3708,90.41
AMD Athlon II X4 605e,1964,3574,130.93
AMD Athlon II X4 610e,1959,3577,118.01
AMD Athlon II X4 615e,2018,3544,34.2
AMD Athlon II X4 620,2009,3554,41.0
AMD Athlon II X4 630,2175,3451,72.55
AMD Athlon II X4 631 Quad-Core,2118,3479,172.07
AMD Athlon II X4 635,2250,3400,131.52
AMD Athlon II X4 638 Quad-Core,2260,3390,35.96
AMD Athlon II X4 640,2272,3383,32.48
AMD Athlon II X4 641 Quad-Core,2313,3357,196.32
AMD Athlon II X4 645,2375,3315,37.08
AMD Athlon II X4 650,2490,3240,14.95
AMD Athlon II X4 651 Quad-Core,2433,3275,16.23
AMD Athlon II X4 655,2487,3242,
AMD Athlon L110,211,5362,
AMD Athlon LE-1600,412,5074,19.63
AMD Athlon LE-1620,421,5060,23.4
AMD Athlon LE-1640,430,5048,3.36
AMD Athlon LE-1660,416,5068,
AMD Athlon Neo MV-40,281,5258,
AMD Athlon Neo X2 Dual Core 6850e,456,5031,
AMD Athlon Neo X2 Dual Core L325,556,4921,
AMD Athlon Neo X2 Dual Core L335,529,4957,
AMD Athlon PRO 200GE,3816,2641,
AMD Athlon PRO 300GE,4342,2492,
AMD Athlon PRO 300U,4080,2560,
AMD Athlon PRO 3045B,2770,3083,
AMD Athlon Silver 3050C,2879,3035,
AMD Athlon Silver 3050e,2990,2987,
AMD Athlon Silver 3050GE,4545,2440,
AMD Athlon Silver 3050U,2951,3002,
AMD Athlon Silver 7120e with Radeon Graphics,3837,2632,
AMD Athlon Silver 7120U,3024,2965,
AMD Athlon Silver PRO 3125GE,4633,2421,
AMD Athlon TF-20,265,5286,
AMD Athlon TF-36,338,5172,
AMD Athlon X2 215,996,4392,
AMD Athlon X2 240,921,4473,
AMD Athlon X2 240e,1015,4372,
AMD Athlon X2 250,855,4549,
AMD Athlon X2 255,938,4457,
AMD Athlon X2 280,1327,4053,39.63
AMD Athlon X2 340 Dual Core,1334,4048,14.05
AMD Athlon X2 370K Dual Core,1439,3964,
AMD Athlon X2 450,1295,4081,
AMD Athlon X2 Dual Core 3250e,348,5155,
AMD Athlon X2 Dual Core 6850e,564,4906,
AMD Athlon X2 Dual Core BE-2300,570,4896,6.34
AMD Athlon X2 Dual Core BE-2350,591,4867,5.92
AMD Athlon X2 Dual Core BE-2400,674,4777,
AMD Athlon X2 Dual Core L310,343,5164,
AMD Athlon X3 425,1516,3914,
AMD Athlon X3 435,1781,3719,18.65
AMD Athlon X3 440,1438,3966,16.35
AMD Athlon X3 445,1626,3822,
AMD Athlon X3 455,1783,3715,
AMD Athlon X4 530,1786,3711,
AMD Athlon X4 620,1810,3693,27.87
AMD Athlon X4 640,2115,3480,
AMD Athlon X4 730,2278,3379,
AMD Athlon X4 740 Quad Core,2646,3149,264.6
AMD Athlon X4 750 Quad Core,2751,3097,29.04
AMD Athlon X4 750K Quad Core,2884,3030,15.14
AMD Athlon X4 760K Quad Core,2977,2996,229.14
AMD Athlon X4 830,3018,2969,14.92
AMD Athlon X4 840,3330,2825,26.65
AMD Athlon X4 845,3768,2657,106.32
AMD Athlon X4 850,2756,3093,
AMD Athlon X4 860K,3422,2778,43.89
AMD Athlon X4 870K,3451,2764,100.9
AMD Athlon X4 880K,3627,2711,38.34
AMD Athlon X4 950,3577,2722,122.24
AMD Athlon X4 970,3648,2701,
AMD Athlon XP 1500+,167,5429,
AMD Athlon XP 1600+,174,5421,
AMD Athlon XP 1700+,176,5420,3.44
AMD Athlon XP 1800+,195,5385,3.83
AMD Athlon XP 1900+,203,5375,4.44
AMD Athlon XP 2000+,195,5386,3.31
AMD Athlon XP 2100+,210,5363,3.3
AMD Athlon XP 2200+,214,5360,2.52
AMD Athlon XP 2400+,234,5331,2.93
AMD Athlon XP 2500+,231,5340,
AMD Athlon XP 2600+,242,5316,10.52
AMD Athlon XP 2700+,256,5296,3.02
AMD Athlon XP 2800+,260,5293,
AMD Athlon XP 2900+,276,5269,
AMD Athlon XP 3000+,262,5291,3.29
