1.7 Ghz,1100
AMD 3015Ce,2099
AMD 3015e,2618
AMD 3020e,2399
AMD 4700S,17641
AMD A10 Micro-6700T APU,1426
AMD A10 PRO-7350B APU,1862
AMD A10 PRO-7800B APU,3310
AMD A10 PRO-7850B APU,3441
AMD A10-4600M APU,1947
AMD A10-4655M APU,1654
AMD A10-4657M APU,1759
AMD A10-5700 APU,2753
AMD A10-5745M APU,1773
AMD A10-5750M APU,2045
AMD A10-5757M APU,1994
AMD A10-5800B APU,3027
AMD A10-5800K APU,2967
AMD A10-6700 APU,3114
AMD A10-6700T APU,2299
AMD A10-6790B APU,1593
AMD A10-6790K APU,3112
AMD A10-6800B APU,3155
AMD A10-6800K APU,3189
AMD A10-7300 APU,1739
AMD A10-7400P,2134
AMD A10-7700K APU,3183
AMD A10-7800 APU,3215
AMD A10-7850K APU,3391
AMD A10-7860K,3215
AMD A10-7870K,3511
AMD A10-7890K,3531
AMD A10-8700P,2254
AMD A10-8750,3205
AMD A10-8850,3438
AMD A10-9600P,2329
AMD A10-9620P,2513
AMD A10-9630P,3041
AMD A10-9700,3558
AMD A10-9700E,3250
AMD A12-9700P,2419
AMD A12-9720P,2630
AMD A12-9730P,3005
AMD A12-9800,3701
AMD A12-9800E,3416
AMD A4 Micro-6400T APU,1082
AMD A4 PRO-3340B,1719
AMD A4 PRO-7300B APU,1458
AMD A4 PRO-7350B,1544
AMD A4-1200 APU,375
AMD A4-1250 APU,421
AMD A4-1350 APU,911
AMD A4-3300 APU,962
AMD A4-3300M APU,728
AMD A4-3305M APU,767
AMD A4-3310MX APU,800
AMD A4-3320M APU,668
AMD A4-3330MX APU,761
AMD A4-3400 APU,1066
AMD A4-3420 APU,1067
AMD A4-4000 APU,1155
AMD A4-4020 APU,1269
AMD A4-4300M APU,967
AMD A4-4355M APU,801
AMD A4-5000 APU,1284
AMD A4-5050 APU,1328
AMD A4-5100 APU,1301
AMD A4-5150M APU,927
AMD A4-5300 APU,1364
AMD A4-5300B APU,1246
AMD A4-6210 APU,1493
AMD A4-6250J APU,1619
AMD A4-6300 APU,1435
AMD A4-6300B APU,1328
AMD A4-6320 APU,1532
AMD A4-7210 APU,1667
AMD A4-7300 APU,1543
AMD A4-9120,1222
AMD A4-9120C,885
AMD A4-9120e,854
AMD A4-9125,1200
AMD A6 Micro-6500T APU,1146
AMD A6 PRO-7050B APU,971
AMD A6 PRO-7400B,1640
AMD A6-1450 APU,1062
AMD A6-3400M APU,1230
AMD A6-3410MX APU,1274
AMD A6-3420M APU,1310
AMD A6-3430MX APU,1389
AMD A6-3500 APU,1439
AMD A6-3600 APU,1750
AMD A6-3620 APU,1877
AMD A6-3650 APU,2098
AMD A6-3670 APU,2216
AMD A6-4400M APU,996
AMD A6-4455M APU,811
AMD A6-5200 APU,1659
AMD A6-5345M APU,1122
AMD A6-5350M APU,1207
AMD A6-5357M APU,1219
AMD A6-5400B APU,1465
AMD A6-5400K APU,1282
AMD A6-6310 APU,1671
AMD A6-6400B APU,1573
