175,6900
376,16200
429,19830
578,32340
779,41000
980,63700
1181,200550
1382,212200
1583,226720
1784,239160
1985,250720
2186,259720
2387,267600
2588,277390
2789,285480
2990,292260
3191,299110
3392,305920
3593,313470
3794,319870
3995,327370
4196,333660
4397,339350
4598,343820
4799,349140
5000,354830
5201,359650
5402,365150
5603,370310
5804,375600
6005,381990
6206,387340
6407,393240
6608,398960
6809,405480
7010,411610
7211,417900
7412,425400
7613,431840
7814,436850
8015,444140
8216,448960
8417,454250
8618,460580
8819,465240
9020,472060
9221,485620
9422,491280
9623,496540
9824,501840
10025,507490
10226,512490
10427,517550
10628,523730
10829,529340
11030,535380
11231,542310
11432,546900
11633,552310
11834,557320
12035,563330
12236,568830
12437,574590
12638,579160
12839,586140
13040,591630
13241,597590
13442,602910
13643,609340
13844,615080
14045,620900
14246,628180
14447,635810
14648,643950
14849,650350
15050,655360
15251,659630
15452,664450
15653,668970
15854,673280
16055,677650
16256,682140
16457,687390
16658,692270
16859,698050
17060,703120
17261,708450
17462,713310
17663,718370
17864,723960
18065,728950
18266,734550
18467,740340
18668,745950
18869,750520
19070,755820
19271,760690
19472,765400
19673,770830
19874,775960
20075,780400
20276,786390
20477,790740
20678,795550
20879,800830
21080,805790
21281,811180
21482,816430
21683,821400
21884,827100
22085,833530
22286,839280
22487,844010
22688,848750
22889,854450
23090,859930
23291,864760
23492,869460
23693,874330
23894,879430
24095,884640
24296,889770
24497,895370
24698,900390
24899,907950
25100,913210
25301,918260
25502,924250
25703,930430
25904,935960
26105,941200
26306,946780
26507,952040
26708,957800
26909,963490
27110,968700
27311,974420
27512,979580
27713,984880
27914,990750
28115,996620
28316,1002540
28517,1007810
28718,1012490
28918,1017180
29119,1022770
29320,1028330
29521,1032730
29722,1037380
29923,1043200
30124,1048160
30325,1052870
30526,1057850
30727,1062160
30928,1066460
31129,1071290
31330,1076410
31531,1081500
31732,1086750
31933,1092000
32134,1096980
32335,1101780
32536,1106920
32737,1112240
32938,1116700
33139,1121760
33340,1126310
33541,1131430
33742,1135890
33943,1140930
34144,1145410
34345,1149620
34546,1153930
34747,1158650
34948,1163500
35149,1168610
35350,1173230
35551,1177730
35752,1183160
35953,1188250
36154,1193290
36355,1198310
36556,1203140
36757,1207690
36958,1212610
37159,1217350
37360,1221630
37561,1226820
37762,1232420
37963,1237190
38164,1243200
38365,1249010
38566,1254070
38767,1259300
38968,1263930
39169,1268800
39370,1273320
39571,1277950
39772,1283070
39973,1287230
40174,1292180
40375,1297180
40576,1301580
40777,1306020
40978,1311670
41179,1318420
41380,1326000
41581,1332180
41782,1336680
41983,1341460
42184,1346250
42385,1351240
42585,1356360
42786,1361070
42987,1365900
43188,1370660
43389,1374740
43590,1379200
43791,1384060
43992,1388400
44193,1393350
44394,1398110
44595,1403230
44796,1408710
44997,1413260
45198,1417740
45399,1423010
45600,1427900
45801,1432590
46002,1437850
46203,1443960
46404,1448620
46605,1453160
46806,1458090
47007,1462790
47208,1467600
47409,1473630
47610,1478350
47811,1482850
48012,1487450
48213,1492120
48414,1496310
48615,1501640
48816,1506440
49017,1510780
49218,1515260
49419,1520170
49620,1525490
49821,1530540
50022,1535960
50223,1541410
50424,1546340
50625,1550630
50826,1554770
51027,1559770
51228,1564450
51429,1568620
51630,1573130
51831,1577450
52032,1581770
52233,1586220
52434,1590360
52635,1594720
52836,1599080
